,q_Years of Potential Life Lost Rate,q_% With Access to Exercise Opportunities,q_% Driving Deaths with Alcohol Involvement,q_Chlamydia Rate,q_% With Annual Mammogram,q_% Vaccinated,q_High School Graduation Rate,q_Social Association Rate,q_Violent Crime Rate,q_Average Daily PM2.5,q_Presence of Water Violation,q_% Severe Housing Problems,q_% Long Commute - Drives Alone,q_Child Mortality Rate,q_% Children Uninsured,q_Other Primary Care Provider Ratio,q_Average Reading Performance,q_Suicide Rate (Age-Adjusted),q_Juvenile Arrest Rate,q_% less than 18 years of age,q_% Native Hawaiian/Other Pacific Islander,q_% Female,q_Hypertension Death Rate,q_% workers commuting by public transit,q_% Veterans in Civilian Adult Population,class
0,0.5194515306122449,0.5564413265306123,0.4848533163265306,0.6664540816326531,0.5162627551020408,0.4209183673469388,0.5212053571428571,0.5762117346938775,0.6712372448979592,0.950095663265306,0.3235012755102041,0.6422193877551021,0.7394770408163265,0.6808035714285714,0.08354591836734694,0.5809948979591837,0.4891581632653062,0.6785714285714286,0.4406887755102041,0.7244897959183674,0.7299107142857143,0.8488520408163265,0.2397959183673469,0.2712918660287081,0.9088010204081632,1.0
1,0.4100765306122449,0.6326530612244898,0.6232461734693877,0.5165816326530612,0.6183035714285714,0.5333227040816326,0.3249362244897959,0.4202806122448979,0.5280612244897959,0.7324617346938775,0.3235012755102041,0.5264668367346939,0.7857142857142857,0.5631377551020408,0.22193877551020408,0.4142219387755102,0.5414540816326531,0.7407525510204082,0.7219387755102041,0.4362244897959184,0.5360331632653061,0.8632015306122449,0.10809948979591837,0.2712918660287081,0.8970025510204082,0.0
2,0.7914540816326531,0.3067602040816326,0.8388073979591837,0.9008290816326532,0.7117346938775511,0.28348214285714285,0.15481505102040816,0.2044005102040816,0.8450255102040817,0.9261798469387756,0.3235012755102041,0.6355229591836735,0.5436862244897959,0.8600127551020408,0.1211734693877551,0.4577487244897959,0.27423469387755106,0.3877551020408163,0.5200892857142857,0.33769132653061223,0.8558673469387755,0.078125,0.4209183673469388,0.4853269537480064,0.2987882653061225,1.0
3,0.9202806122448979,0.04942602040816327,0.5079719387755102,0.5452806122448979,0.4604591836734694,0.3140943877551021,0.22177933673469388,0.26339285714285715,0.20918367346938774,0.8839285714285714,0.3235012755102041,0.20408163265306126,0.917091836734694,0.9231505102040816,0.07653061224489796,0.9386160714285714,0.2646683673469388,0.7987882653061225,0.17346938775510204,0.2987882653061225,0.7436224489795918,0.06664540816326531,0.10778061224489796,0.6414673046251994,0.2252869897959184,1.0
4,0.8845663265306123,0.04878826530612245,0.2547831632653061,0.3051658163265306,0.19276147959183676,0.34677933673469385,0.7394770408163265,0.2694515306122449,0.9001913265306123,0.950095663265306,0.3235012755102041,0.20918367346938774,0.9826211734693876,0.9119897959183674,0.3086734693877551,0.7082270408163265,0.5628188775510204,0.6144770408163265,0.3855229591836735,0.6584821428571429,0.7560586734693877,0.6597576530612245,0.037308673469387765,0.2712918660287081,0.4647640306122449,1.0
5,0.9046556122448979,0.016262755102040817,0.9700255102040816,0.9445153061224488,0.2302295918367347,0.1015625,0.04783163265306122,0.21875,0.7270408163265306,0.8839285714285714,0.3235012755102041,0.8702168367346939,0.8647959183673469,0.9961734693877552,0.031568877551020405,0.09199617346938777,0.2267219387755102,0.1210140306122449,0.5749362244897959,0.3638392857142857,0.9827806122448979,0.041135204081632654,0.7963966836734694,0.10685805422647528,0.02487244897959184,1.0
6,0.979591836734694,0.25223214285714285,0.5051020408163265,0.9174107142857144,0.5691964285714286,0.2303890306122449,0.1591198979591837,0.3176020408163265,0.9384566326530612,0.7890625,0.8168048469387755,0.4824617346938776,0.5471938775510204,0.9566326530612244,0.08099489795918367,0.2547831632653061,0.31058673469387754,0.2684948979591837,0.34933035714285715,0.5261479591836735,0.4212372448979592,0.9910714285714286,0.7614795918367347,0.10685805422647528,0.2853954081632653,1.0
7,0.9237882653061223,0.2397959183673469,0.240593112244898,0.8708545918367347,0.12962372448979592,0.3140943877551021,0.6693239795918368,0.7452168367346939,0.981186224489796,0.9583864795918368,0.3235012755102041,0.5471938775510204,0.5095663265306123,0.7898596938775511,0.047193877551020405,0.41326530612244894,0.6189413265306123,0.7624362244897959,0.8466198979591837,0.4365433673469388,0.7248086734693877,0.9292091836734694,0.007174744897959185,0.4853269537480064,0.8107461734693877,1.0
8,0.8708545918367347,0.4330357142857143,0.5432079081632653,0.8475765306122449,0.3635204081632653,0.4575892857142857,0.3204719387755102,0.8848852040816326,0.9215561224489796,0.9127869897959184,0.3235012755102041,0.7547831632653061,0.5309311224489796,0.9301658163265306,0.06313775510204081,0.8128188775510204,0.25605867346938777,0.7975127551020408,0.17346938775510204,0.3313137755102041,0.36447704081632654,0.9435586734693876,0.8357780612244898,0.3845295055821372,0.4011479591836735,1.0
9,0.9365433673469388,0.11447704081632655,0.2581313775510204,0.5097257653061225,0.2700892857142857,0.4209183673469388,0.8230229591836735,0.2729591836734694,0.7566964285714286,0.9127869897959184,0.3235012755102041,0.4636479591836735,0.8667091836734694,0.7697704081632653,0.15752551020408162,0.16948341836734693,0.5452806122448979,0.8807397959183674,0.17346938775510204,0.17346938775510204,0.2426658163265306,0.5551658163265306,0.06090561224489796,0.3845295055821372,0.7503188775510204,1.0
